TI,TS,x,y,z,mode
23595.53890329167,05/11/2018 20:15:29,0.1049652099609375,-0.3929290771484375,-1.1315460205078125,
23595.634618291668,05/11/2018 20:15:30,0.4196014404296875,0.0648956298828125,-1.36248779296875,
23595.68451529167,05/11/2018 20:15:30,0.4208526611328125,0.0418853759765625,-1.4029388427734375,
23595.73438129167,05/11/2018 20:15:30,0.374176025390625,0.0765838623046875,-1.415679931640625,
23595.78422029167,05/11/2018 20:15:30,0.167510986328125,0.13262939453125,-1.08978271484375,
23595.83409429167,05/11/2018 20:15:30,0.08343505859375,-0.1868896484375,-0.99481201171875,
23595.883951291667,05/11/2018 20:15:30,0.3635101318359375,-0.2072906494140625,-1.129913330078125,
23595.93380829167,05/11/2018 20:15:30,0.3420257568359375,0.047760009765625,-1.3977813720703125,
23595.983651291666,05/11/2018 20:15:30,0.00439453125,-0.012298583984375,-0.6021881103515625,
23596.033515291667,05/11/2018 20:15:30,0.001739501953125,-0.087738037109375,-0.3697357177734375,
23596.08335429167,05/11/2018 20:15:30,-0.0422210693359375,-0.1209259033203125,-0.4300689697265625,
23596.133233291668,05/11/2018 20:15:30,-0.1328277587890625,-0.07684326171875,-0.5489044189453125,
23596.18307629167,05/11/2018 20:15:30,-0.1123046875,-0.2720794677734375,-0.9510498046875,
23596.23296129167,05/11/2018 20:15:30,-0.1039276123046875,-0.4227294921875,-1.21563720703125,
23596.282819291668,05/11/2018 20:15:30,-0.07012939453125,-0.1643218994140625,-1.3378753662109375,
23596.332671291668,05/11/2018 20:15:30,-0.101715087890625,-0.014617919921875,-1.157318115234375,
23596.38252829167,05/11/2018 20:15:30,0.13336181640625,-0.1005096435546875,-1.0401611328125,
23596.432385291668,05/11/2018 20:15:30,0.016265869140625,-0.270782470703125,-0.8916168212890625,
23596.48224029167,05/11/2018 20:15:30,0.002960205078125,-0.1383056640625,-0.83349609375,
23596.532099291668,05/11/2018 20:15:30,0.09564208984375,-0.150146484375,-1.11407470703125,
23596.581929291668,05/11/2018 20:15:30,0.149444580078125,-0.1668548583984375,-1.1184844970703125,
23596.631811291667,05/11/2018 20:15:30,0.0604095458984375,-0.245452880859375,-0.9491119384765625,
23596.68166829167,05/11/2018 20:15:30,0.0316619873046875,-0.277496337890625,-1.1721038818359375,
23596.731526291667,05/11/2018 20:15:30,-0.0026702880859375,-0.329742431640625,-1.2296142578125,
23596.781390291668,05/11/2018 20:15:30,0.0184173583984375,-0.158599853515625,-1.28155517578125,
23596.83124529167,05/11/2018 20:15:31,-0.0804595947265625,-0.1776275634765625,-0.912506103515625,
23596.881093291668,05/11/2018 20:15:31,-0.0489044189453125,-0.17431640625,-0.827392578125,
23596.93096129167,05/11/2018 20:15:31,0.0039520263671875,-0.159423828125,-0.817718505859375,
23596.98082029167,05/11/2018 20:15:31,-0.0052947998046875,-0.2036285400390625,-0.67437744140625,
23597.030660291668,05/11/2018 20:15:31,-0.0209808349609375,-0.3082427978515625,-0.5914764404296875,
23597.080543291668,05/11/2018 20:15:31,-0.0118408203125,-0.3642425537109375,-0.712615966796875,
23597.130385291668,05/11/2018 20:15:31,-0.0167388916015625,-0.3704071044921875,-1.112091064453125,
23597.180257291668,05/11/2018 20:15:31,0.0088958740234375,-0.3924713134765625,-1.0025634765625,
23597.230106291667,05/11/2018 20:15:31,-0.04376220703125,-0.4816741943359375,-1.093505859375,
23597.279961291668,05/11/2018 20:15:31,0.0957794189453125,-0.54833984375,-1.186676025390625,
23597.32980729167,05/11/2018 20:15:31,-0.1024322509765625,-0.1045989990234375,-1.2209014892578125,
23597.379673291667,05/11/2018 20:15:31,0.140472412109375,-0.2999114990234375,-1.117828369140625,
23597.429524291667,05/11/2018 20:15:31,0.161224365234375,-0.2398834228515625,-0.9248809814453125,
23597.479374291666,05/11/2018 20:15:31,0.007537841796875,-0.2541351318359375,-0.7720947265625,
23597.52922529167,05/11/2018 20:15:31,-0.0048370361328125,-0.3365325927734375,-0.5786590576171875,
23597.57907629167,05/11/2018 20:15:31,0.009674072265625,-0.3798065185546875,-0.7034759521484375,
23597.628910291667,05/11/2018 20:15:31,0.0205078125,-0.4122467041015625,-0.854949951171875,
23597.67877729167,05/11/2018 20:15:31,0.0204925537109375,-0.5279388427734375,-0.9088592529296875,
23597.72863129167,05/11/2018 20:15:31,-0.0167999267578125,-0.4610443115234375,-0.9454498291015625,
23597.778477291668,05/11/2018 20:15:31,-0.05084228515625,-0.506072998046875,-1.0005035400390625,
23597.82834329167,05/11/2018 20:15:32,0.050994873046875,-0.3850250244140625,-1.3277740478515625,
23597.878190291667,05/11/2018 20:15:32,-0.0525054931640625,-0.4060821533203125,-0.8669281005859375,
23597.928043291668,05/11/2018 20:15:32,-0.1262664794921875,-0.3532867431640625,-0.772216796875,
23597.977914291667,05/11/2018 20:15:32,-0.006866455078125,-0.2789764404296875,-0.886016845703125,
23598.02777329167,05/11/2018 20:15:32,-0.023681640625,-0.2930755615234375,-0.64678955078125,
23598.07764329167,05/11/2018 20:15:32,0.055694580078125,-0.4396209716796875,-0.6766357421875,
23598.127492291667,05/11/2018 20:15:32,-0.0618896484375,-0.4848785400390625,-0.588043212890625,
23598.17732929167,05/11/2018 20:15:32,-0.1117095947265625,-0.4295806884765625,-0.896942138671875,
23598.227076000003,05/11/2018 20:15:32,-0.10382080078125,-0.4161224365234375,-0.9959869384765625,
23598.276922,05/11/2018 20:15:32,-0.0651702880859375,-0.426666259765625,-1.1251220703125,
23598.326741,05/11/2018 20:15:32,0.003570556640625,-0.600189208984375,-0.9819488525390625,
