TI,TS,x,y,z,mode
27275.452991416667,06/11/2018 08:56:56,85.13606262207031,-0.84088134765625,-737.176025390625,
27275.50247141667,06/11/2018 08:56:56,84.62626647949219,-1.0090484619140625,-737.0113525390625,
27275.542046416667,06/11/2018 08:56:56,84.45632934570312,-2.858978271484375,-737.176025390625,
27275.581633416667,06/11/2018 08:56:56,86.49551391601562,-2.186279296875,-737.8346557617188,
27275.621215416668,06/11/2018 08:56:56,84.11647033691406,-2.858978271484375,-737.50537109375,
27275.66079641667,06/11/2018 08:56:56,85.13606262207031,-1.8499298095703125,-737.50537109375,
27275.70037641667,06/11/2018 08:56:56,84.45632934570312,-2.5226287841796875,-734.54150390625,
27275.739949416668,06/11/2018 08:56:56,84.96612548828125,-2.3544464111328125,-736.0234375,
27275.77955141667,06/11/2018 08:56:56,84.96612548828125,-2.3544464111328125,-736.0234375,
27275.81914241667,06/11/2018 08:56:56,86.32559204101562,-2.6907958984375,-736.352783203125,
27275.85872341667,06/11/2018 08:56:56,85.8157958984375,-1.1772308349609375,-734.212158203125,
27275.898314416667,06/11/2018 08:56:56,87.51512145996094,-0.84088134765625,-735.5294189453125,
27275.937896416668,06/11/2018 08:56:56,87.34518432617188,-1.0090484619140625,-735.694091796875,
27275.97748741667,06/11/2018 08:56:56,86.66545104980469,-1.6817474365234375,-734.3768310546875,
27276.017071416667,06/11/2018 08:56:56,88.53471374511719,-0.168182373046875,-734.212158203125,
27276.05665441667,06/11/2018 08:56:56,89.72422790527344,-1.0090484619140625,-733.0595703125,
27276.096240416668,06/11/2018 08:56:56,90.40396118164062,0.0,-733.7182006835938,
27276.13582441667,06/11/2018 08:56:56,90.57389831542969,0.1681671142578125,-733.8828735351562,
27276.17541341667,06/11/2018 08:56:56,92.44314575195312,0.336334228515625,-734.7061767578125,
27276.214997416668,06/11/2018 08:56:56,92.78302001953125,-1.0090484619140625,-734.0475463867188,
27276.25458941667,06/11/2018 08:56:56,94.65226745605469,-1.1772308349609375,-734.54150390625,
27276.29415841667,06/11/2018 08:56:57,94.82220458984375,-1.34539794921875,-733.7182006835938,
27276.33375841667,06/11/2018 08:56:57,94.82220458984375,-2.018096923828125,-735.3648071289062,
27276.372161416668,06/11/2018 08:56:57,95.33200073242188,-2.858978271484375,-735.5294189453125,
27276.41174241667,06/11/2018 08:56:57,94.65226745605469,-3.1953125,-735.8587646484375,
27276.45132441667,06/11/2018 08:56:57,94.65226745605469,-1.8499298095703125,-735.5294189453125,
27276.490905416667,06/11/2018 08:56:57,94.65226745605469,-2.858978271484375,-734.54150390625,
27276.53048641667,06/11/2018 08:56:57,96.69145202636719,-4.8770599365234375,-734.54150390625,
27276.57009841667,06/11/2018 08:56:57,98.39077758789062,-6.2224578857421875,-734.54150390625,
27276.60966841667,06/11/2018 08:56:57,99.24043273925781,-9.0814208984375,-736.0234375,
27276.64927941667,06/11/2018 08:56:57,99.07051086425781,-10.258636474609375,-736.1881103515625,
27276.68884241667,06/11/2018 08:56:57,100.26004028320312,-12.78125,-737.6700439453125,
27276.72844241667,06/11/2018 08:56:57,100.26004028320312,-13.117599487304688,-736.0234375,
27276.76802541667,06/11/2018 08:56:57,99.58030700683594,-13.117599487304688,-736.6820678710938,
27276.807607416667,06/11/2018 08:56:57,101.44955444335938,-11.940383911132812,-736.1881103515625,
27276.847206416667,06/11/2018 08:56:57,101.44955444335938,-9.922286987304688,-734.54150390625,
27276.886796416667,06/11/2018 08:56:57,102.63908386230469,-8.745071411132812,-733.0595703125,
27276.92638841667,06/11/2018 08:56:57,103.82861328125,-7.23150634765625,-729.6017456054688,
27276.965974416667,06/11/2018 08:56:57,102.12928771972656,-6.2224578857421875,-730.2603759765625,
27277.00555741667,06/11/2018 08:56:57,102.46914672851562,-5.5497589111328125,-730.5897216796875,
27277.04513441667,06/11/2018 08:56:57,103.14888000488281,-3.5316619873046875,-727.2965087890625,
27277.08470441667,06/11/2018 08:56:57,103.31881713867188,-4.3725433349609375,-728.1198120117188,
27277.124134250003,06/11/2018 08:56:57,103.65867614746094,-1.6817474365234375,-726.8025512695312,
27277.16374525,06/11/2018 08:56:57,104.16847229003906,-0.84088134765625,-726.9672241210938,
27277.20332825,06/11/2018 08:56:57,103.48873901367188,0.1681671142578125,-726.30859375,
27277.24290325,06/11/2018 08:56:57,100.26004028320312,1.009033203125,-726.1439208984375,
27277.28248425,06/11/2018 08:56:58,99.920166015625,0.0,-726.4732666015625,
27277.32204125,06/11/2018 08:56:58,100.93975830078125,1.009033203125,-727.461181640625,
27277.360936250003,06/11/2018 08:56:58,99.75022888183594,-0.5045318603515625,-726.30859375,
27277.40051925,06/11/2018 08:56:58,104.16847229003906,-1.1772308349609375,-726.6378784179688,
27277.440083250003,06/11/2018 08:56:58,103.65867614746094,1.009033203125,-727.1318359375,
27277.479692250003,06/11/2018 08:56:58,105.01814270019531,0.0,-725.8145751953125,
27277.51927625,06/11/2018 08:56:58,104.16847229003906,-0.84088134765625,-724.9913330078125,
27277.558857250002,06/11/2018 08:56:58,104.33840942382812,-0.672698974609375,-724.1680297851562,
27277.59843025,06/11/2018 08:56:58,102.63908386230469,-0.672698974609375,-726.1439208984375,
27277.63802025,06/11/2018 08:56:58,103.48873901367188,-1.1772308349609375,-725.3206176757812,
27277.677618250003,06/11/2018 08:56:58,102.97894287109375,0.0,-725.8145751953125,
27277.717183250003,06/11/2018 08:56:58,103.82861328125,1.177215576171875,-725.979248046875,
27277.756764250003,06/11/2018 08:56:58,103.31881713867188,0.336334228515625,-726.1439208984375,
