TI,TS,x,y,z,mode
82427.75643241667,08/11/2018 12:10:47,75.44992065429688,-44.39802551269531,-737.0113525390625,
82427.80597141667,08/11/2018 12:10:47,75.27999877929688,-41.87541198730469,-739.1519775390625,
82427.84564441667,08/11/2018 12:10:47,74.94012451171875,-38.511932373046875,-742.1157836914062,
82427.88528641667,08/11/2018 12:10:47,76.63945007324219,-38.84828186035156,-741.7864990234375,
82427.92492641667,08/11/2018 12:10:47,76.80938720703125,-38.00740051269531,-742.6097412109375,
82427.96457141667,08/11/2018 12:10:47,77.65904235839844,-38.511932373046875,-741.7864990234375,
82428.00424441668,08/11/2018 12:10:47,77.31918334960938,-38.17558288574219,-740.46923828125,
82428.04388741667,08/11/2018 12:10:47,76.97930908203125,-39.52098083496094,-741.4571533203125,
82428.08352841667,08/11/2018 12:10:47,77.65904235839844,-40.866363525390625,-741.4571533203125,
82428.12274341666,08/11/2018 12:10:47,77.8289794921875,-40.361846923828125,-740.6338500976562,
82428.16240941668,08/11/2018 12:10:47,76.46951293945312,-39.35279846191406,-739.9752197265625,
82428.20202741667,08/11/2018 12:10:47,74.43032836914062,-38.00740051269531,-740.3045654296875,
82428.24168441667,08/11/2018 12:10:47,74.60026550292969,-37.166534423828125,-740.139892578125,
82428.28132841668,08/11/2018 12:10:48,73.41073608398438,-36.32566833496094,-741.951171875,
82428.32098141668,08/11/2018 12:10:48,75.61985778808594,-36.15748596191406,-740.46923828125,
82428.36063841668,08/11/2018 12:10:48,78.84857177734375,-38.00740051269531,-741.951171875,
82428.40028841667,08/11/2018 12:10:48,77.14924621582031,-38.68009948730469,-740.9631958007812,
82428.43993941667,08/11/2018 12:10:48,78.50871276855469,-39.35279846191406,-742.2804565429688,
82428.47958941667,08/11/2018 12:10:48,80.71781921386719,-42.211761474609375,-741.1278076171875,
82428.51923941667,08/11/2018 12:10:48,81.05769348144531,-42.54811096191406,-741.7864990234375,
82428.55888241668,08/11/2018 12:10:48,80.88775634765625,-43.72532653808594,-739.6459350585938,
82428.59853941668,08/11/2018 12:10:48,80.88775634765625,-43.38897705078125,-739.3165893554688,
82428.63818541667,08/11/2018 12:10:48,80.54789733886719,-43.72532653808594,-740.6338500976562,
82428.67783641667,08/11/2018 12:10:48,79.18843078613281,-42.37994384765625,-739.9752197265625,
82428.71748641667,08/11/2018 12:10:48,79.35836791992188,-42.54811096191406,-738.8226318359375,
82428.75711741667,08/11/2018 12:10:48,78.50871276855469,-42.04359436035156,-739.9752197265625,
82428.79678441667,08/11/2018 12:10:48,78.67863464355469,-41.5390625,-740.46923828125,
82428.83643141667,08/11/2018 12:10:48,79.8681640625,-43.05262756347656,-740.3045654296875,
82428.87606941667,08/11/2018 12:10:48,81.22761535644531,-41.0345458984375,-741.621826171875,
82428.91572541668,08/11/2018 12:10:48,80.54789733886719,-41.0345458984375,-742.2804565429688,
82428.95537241668,08/11/2018 12:10:48,80.54789733886719,-41.37089538574219,-740.9631958007812,
82428.99501941667,08/11/2018 12:10:48,79.69822692871094,-39.52098083496094,-740.7985229492188,
82429.03467041667,08/11/2018 12:10:48,79.52830505371094,-41.0345458984375,-742.2804565429688,
82429.07431241668,08/11/2018 12:10:48,81.05769348144531,-41.87541198730469,-741.1278076171875,
82429.11396241667,08/11/2018 12:10:48,80.03810119628906,-41.5390625,-742.7744140625,
82429.15274141668,08/11/2018 12:10:48,78.67863464355469,-38.84828186035156,-740.46923828125,
